LOCATION,TIME,Value,GDP_PER_CAP
AUS,1990,40.86983511232127,28730.21887
AUS,1991,83.82533436730722,28483.5889
AUS,1992,81.6651520042264,29301.40943
AUS,1993,82.3546488082332,30197.97303
AUS,1994,83.88903875763529,31055.25249
AUS,1995,80.13800623433112,31902.51766
AUS,1996,80.9740243363433,32767.72043
AUS,1997,84.342558595979,33898.72287
AUS,1998,84.7850343823762,35265.26904
AUS,1999,86.1921070952293,36253.46806
AUS,2000,87.42149047280749,36533.018339999995
AUS,2001,83.78383541528571,37510.136510000004
AUS,2002,87.25909076535369,38193.24845
AUS,2003,86.7095621883811,39287.737539999995
AUS,2004,90.9954443428702,40115.34971
AUS,2005,91.7083281155505,40737.5049
AUS,2006,92.4028100571187,41736.385160000005
AUS,2007,91.12628189367052,42480.80534
AUS,2008,86.87013129073529,42444.44221
AUS,2009,87.30063423596222,42438.24232
AUS,2010,92.23634853811737,42812.136119999996
AUS,2011,90.69092999763254,43868.52364
AUS,2012,92.34314736306092,44236.80891
AUS,2013,93.04555968044849,44598.98955
AUS,2014,92.03426337359068,44965.06058
AUS,2015,94.32376930749194,45584.3226
AUS,2016,94.28013304978711,45929.17787
AUS,2017,92.06386824457731,46442.19978
AUS,2018,92.22733540639831,46941.78553
BRA,1996,53.3754427531929,10965.32125
BRA,1997,52.594094358275356,11167.52008
BRA,1998,53.610619596323396,11038.64591
BRA,1999,57.4581824196547,10925.91054
BRA,2000,62.42813848439459,11237.10387
BRA,2001,61.44244267169301,11235.33379
BRA,2002,63.62098091607608,11429.81948
BRA,2003,68.11127713363825,11418.89507
BRA,2004,67.16449638173782,11934.188479999999
BRA,2005,63.30229749044507,12174.78543
BRA,2006,68.73128576275708,12517.055059999999
BRA,2007,68.54548134536526,13137.99644
BRA,2008,69.04104645593524,13664.724230000002
BRA,2009,66.6989595633552,13508.17014
BRA,2010,76.45605057326456,14382.76105
BRA,2011,78.11741350749612,14824.092040000001
BRA,2012,77.70230548018668,14978.518719999998
BRA,2013,78.61529884065631,15298.285280000002
BRA,2014,78.08116837102197,15244.7861
BRA,2015,78.11115086698675,14577.1893
BRA,2016,77.39948084327004,13979.85994
BRA,2017,78.43465196175873,14012.825319999998
CAN,1990,70.36506832852584,30899.78553
CAN,1991,69.59623143216926,29881.604910000002
CAN,1992,70.9383744915772,29795.91549
CAN,1993,69.9469867598834,30254.41639
CAN,1994,72.54957344037048,31269.887880000002
CAN,1995,71.83490167242343,31781.10956
CAN,1996,69.93087066116647,31959.77793
CAN,1997,70.0326694813088,32997.95616
CAN,1998,73.53145993718498,34000.9456
CAN,1999,76.24020306900755,35466.25527
CAN,2000,76.16041279326205,36957.1855
CAN,2001,76.75191104954594,37212.2884
CAN,2002,76.14441602854899,37921.96241
CAN,2003,75.42427477897134,38259.3598
CAN,2004,75.92953014447804,39074.52926
CAN,2005,72.53745850643577,39945.3834
CAN,2006,72.90719366083518,40584.72698
CAN,2007,74.7211363804293,41026.14323
CAN,2008,73.13484623219578,40993.486580000004
CAN,2009,71.51519708991738,39340.0641
CAN,2010,69.83629310867921,40106.22047
CAN,2011,67.80387587783962,40961.76002
CAN,2012,68.40029126552001,41194.50782
CAN,2013,67.44678235461927,41672.54685
CAN,2014,67.46610450168005,42405.88438
CAN,2015,69.24592363181578,42498.05966
CAN,2016,68.50476429043506,42484.74605
CAN,2017,68.60183292405262,43234.40234
CAN,2018,68.75004409585297,43430.22713
CHE,1990,61.497993108321104,45224.22121
CHE,1991,61.42340902949209,44264.20182
CHE,1992,60.34550487675279,43843.33192
CHE,1993,58.57296958469918,43501.372339999994
CHE,1994,55.52410545628857,43753.27119
CHE,1995,55.72641621956106,43600.47389
CHE,1996,54.45598236290782,43620.14752
CHE,1997,54.12261233981305,44517.08869
CHE,1998,55.22452906950416,45718.26895
CHE,1999,54.32764257067157,46240.816889999995
CHE,2000,54.2159547227248,47800.15889
CHE,2001,54.56530399359126,48219.66329
CHE,2002,55.26653713356221,47947.17321
CHE,2003,54.95164513425847,47613.87863
CHE,2004,54.52418957015029,48604.12546
CHE,2005,54.54869349014541,49823.74431
CHE,2006,54.51249975750915,51516.55384
CHE,2007,55.63028627165775,53185.89329
CHE,2008,56.763062644807974,53684.947360000006
CHE,2009,56.169016338145894,51854.462889999995
CHE,2010,57.21015140975627,52859.84815
CHE,2011,57.125375999001136,53369.29343
CHE,2012,55.28060310993005,53336.84304
CHE,2013,52.5594214571407,53703.575339999996
CHE,2014,53.40829097075948,54351.68388
CHE,2015,52.39751973125744,54452.989
CHE,2016,52.521335719655156,54724.02477
CHE,2017,51.650233069631824,55092.24115
CHE,2018,51.241232185330695,55951.72124
CHL,1990,28.77776210469692,8119.652499
CHL,1991,29.11649234098652,8607.912831
CHL,1992,33.43333764959316,9492.768331000001
CHL,1993,37.76945825892988,9978.350341
CHL,1994,40.69916631232796,10366.6321
CHL,1995,45.06294854994611,11274.57259
CHL,1996,47.04612399678526,11943.99858
CHL,1997,48.62080952983681,12657.24921
CHL,1998,50.16868757616405,13028.018259999999
CHL,1999,50.154710219306935,12803.1009
CHL,2000,52.32854554938848,13309.45758
CHL,2001,53.154924698295574,13595.533980000002
CHL,2002,52.46120098851444,13863.120340000001
CHL,2003,53.83186172371918,14272.63857
CHL,2004,55.594684149710446,15139.41297
CHL,2005,56.31062286805323,15818.85985
CHL,2006,60.67814518717158,16671.86953
CHL,2007,63.258480057528324,17308.262880000002
CHL,2008,62.09009115320901,17742.52904
CHL,2009,59.93686203420834,17295.59304
